"","reads.in","reads.out"
"170714_M03291_0074_000000000-AV4VF_60_S128_L001_R1_001.fastq",531,466
"170714_M03291_0074_000000000-AV4VF_61_S129_L001_R1_001.fastq",42831,40111
"170714_M03291_0074_000000000-AV4VF_62_S130_L001_R1_001.fastq",1651,1483
"170714_M03291_0074_000000000-AV4VF_63_S131_L001_R1_001.fastq",1506,1024
"170714_M03291_0074_000000000-AV4VF_64_S132_L001_R1_001.fastq",1257,721
"170714_M03291_0074_000000000-AV4VF_7_S12_L001_R1_001.fastq",481806,437474
"170714_M03291_0074_000000000-AV4VF_70_S133_L001_R1_001.fastq",2250,2110
"170714_M03291_0074_000000000-AV4VF_71_S134_L001_R1_001.fastq",29460,27678
"170714_M03291_0074_000000000-AV4VF_72_S135_L001_R1_001.fastq",219,171
"170714_M03291_0074_000000000-AV4VF_73_S136_L001_R1_001.fastq",907,781
"170714_M03291_0074_000000000-AV4VF_74_S137_L001_R1_001.fastq",1163,990
"170714_M03291_0074_000000000-AV4VF_77_S141_L001_R1_001.fastq",36905,31383
"170714_M03291_0074_000000000-AV4VF_8_S13_L001_R1_001.fastq",41532,36871
"170714_M03291_0074_000000000-AV4VF_81_S50_L001_R1_001.fastq",34249,29178
"170714_M03291_0074_000000000-AV4VF_82_S51_L001_R1_001.fastq",44398,37990
"170714_M03291_0074_000000000-AV4VF_85_S138_L001_R1_001.fastq",35675,33067
"170714_M03291_0074_000000000-AV4VF_86_S49_L001_R1_001.fastq",64303,60249
"170714_M03291_0074_000000000-AV4VF_87_S48_L001_R1_001.fastq",17319,15060
"170714_M03291_0074_000000000-AV4VF_89_S47_L001_R1_001.fastq",69859,65542
"170714_M03291_0074_000000000-AV4VF_9_S14_L001_R1_001.fastq",210733,188090
"170714_M03291_0074_000000000-AV4VF_91_S142_L001_R1_001.fastq",2317,1811
"170714_M03291_0074_000000000-AV4VF_92_S171_L001_R1_001.fastq",647,557
"170714_M03291_0074_000000000-AV4VF_92a_S172_L001_R1_001.fastq",158,131
"170714_M03291_0074_000000000-AV4VF_97_S46_L001_R1_001.fastq",120014,111601
"170714_M03291_0074_000000000-AV4VF_mock1_S96_L001_R1_001.fastq",144129,126770
"170714_M03291_0074_000000000-AV4VF_mock2_S192_L001_R1_001.fastq",176701,156697
"170714_M03291_0074_000000000-AV4VF_mock3_S288_L001_R1_001.fastq",263797,233542
"170714_M03291_0074_000000000-AV4VF_NC_PCR1_S94_L001_R1_001.fastq",344,153
"170714_M03291_0074_000000000-AV4VF_NC_PCR2_S190_L001_R1_001.fastq",329,174
"170714_M03291_0074_000000000-AV4VF_NC_PCR3_S286_L001_R1_001.fastq",921,156
"170714_M03291_0074_000000000-AV4VF_NC_swab1_S93_L001_R1_001.fastq",243,143
"170714_M03291_0074_000000000-AV4VF_NC_swab2_S189_L001_R1_001.fastq",263,110
"170714_M03291_0074_000000000-AV4VF_NC_swab3_S285_L001_R1_001.fastq",259,182
"170714_M03291_0074_000000000-AV4VF_posC1_S95_L001_R1_001.fastq",85557,7642
"170714_M03291_0074_000000000-AV4VF_posC2_S191_L001_R1_001.fastq",153294,13031
"170714_M03291_0074_000000000-AV4VF_posC3_S287_L001_R1_001.fastq",298066,26341
