"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"SV190" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreales_fam_Incertae_sedis" "g__Acremonium" NA
"SV191" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleomassariaceae" NA NA
"SV192" "k__Fungi" "p__Olpidiomycota" "c__Olpidiomycetes" "o__Olpidiales" "f__Olpidiaceae" "g__Olpidium" "s__brassicae"
"SV193" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"SV194" "k__Fungi" NA NA NA NA NA NA
"SV195" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__Branch02" NA NA NA
"SV196" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Xylariales" "f__Microdochiaceae" "g__Microdochium" NA
"SV197" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Trichosporonales" "f__Trichosporonaceae" "g__Cutaneotrichosporon" "s__jirovecii"
"SV198" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Periconiaceae" "g__Periconia" "s__homothallica"
"SV199" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymosphaeriaceae" "g__Paraconiothyrium" NA
"SV200" "k__Fungi" NA NA NA NA NA NA
"SV201" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__GS11" NA NA NA
"SV202" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Alfaria" "s__ossiformis"
"SV203" "k__Fungi" "p__Aphelidiomycota" NA NA NA NA NA
"SV204" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" NA NA
